235,All India Anna Dravida Munnetra Kazhagam,Votes,Dravida Munnetra Kazhagam,Votes,Indian National Congress,Votes,Bharatiya Janata Party,Votes,Desiya Murpokku Dravida Kazhagam,Votes,Bahujan Samaj Party,Votes,Naam Tamilar Katchi,Votes,Pattali Makkal Katchi,Votes,Indiya Jananayaka Katchi,Votes,Kongunadu Makkal Desia Katchi,Votes,Communist Party of India  (Marxist-Leninist)  (Liberation),Votes,Rashtriya Samaj Paksha,Votes,None of the Above,Votes,Youth And Students Party,Votes,Gokula Makkal Katchi,Votes,Viduthalai Chiruthaigal Katchi,Votes,Vijaya Bharatha Makkal (People) Party,Votes,Lok Jan Shakti Party,Votes,Vidiyalai Thedum Indhiyargal Party,Votes,Marumalarchi Dravida Munnetra Kazhagam,Votes,Shivsena,Votes,Samata Party,Votes,Communist Party of India  (Marxist),Votes,Nationalist Congress Party,,Valamaana Tamizhagam Katchi,,People's Party of India(secular),,Communist Party of India,Votes,The Future India Party,Votes,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Votes,Republican Party of India (A),Votes,Anbu Udhayam Katchi,Votes,Jebamani Janata,Votes,Makkalatchi Katchi,Votes,All India Women United Party,Votes,SOCIAL DEMOCRATIC PARTY OF INDIA,Votes,Jan Shakti Dal,Votes,Tamil Maanila Congress  (Moopanar),Votes,Gandhiya Makkal Iyakkam,Votes,Desiya Makkal Sakthi Katchi,Votes,Eluchi Desam Party,Votes,Christian Democratic Front,Votes,Tamilaga Sthabana Congress,Votes,Gandhiyan Peoples Party,Votes,Makkal Manadu Katchi,Votes,Thozhilalar Party,Votes,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Votes,All India Pattali Munnetra Katchi,Votes,Samajwadi Party,Votes,Bharat Pensioner's Front,Votes,Ulzaipali Makkal Katchy,Votes,Namadhu Makkal Katchi,Votes,Ganasangam Party of India,Votes,All Peoples Party,Votes,Indian Union Muslim League,Votes,All India Majlis-E-Ittehadul Muslimeen,Votes,Welfare Party Of India,Votes,Manithaneya Makkal Katchi,Votes,Sunder Samaj Party,Votes,United Communist Party of India,Votes,Puratchikara Thozilalar Katchi,Votes,Forward Democratic Labour Party,Votes,Republican Sena,Votes,Tamilar Makkal Katchi,Votes,Janata Dal  (Secular),Votes,Valimai Valartchi Indians Party,Votes,Republican Party of India,Votes,Sainik Samaj Party,Votes,Janata Dal  (United),Votes,Samuga Makkal Katchi,Votes,India Dravida Makkal Munnetra Katchi,Votes,Tamilaga Makkal Munnetra Kazhagam,Votes,India Makkal Munnetra Katchi,Votes,All India Forward Bloc,Votes,Indian Christian Front,Votes,Tamizhaga Vaazhvurimai Katchi,Votes,Puthiya Tamilagam,Votes,All India Forward Bloc  (Subhasist),Votes,Ezhuchi Tamilargal Munnetra Kazhagam,Votes,Anaithu Makkal Munnetra Kazhagam,Votes,"Makkal Sananayaga Kudiyarasu Katchi,",Votes,Rashtriya Janata Dal,Votes,Rashtriya Janta Party,Votes,Samajwadi Samaj Party,Votes,Socialistic Democratic Party,Votes,Makkal Kootamaipu Katchi,Votes,Jammu & Kashmir National Panthers Party,Votes,Desa Makkal Munnetrak Kazhgam,Votes,Democratic Party of India,Votes,Akhil Bharat Hindu Mahasabha,Votes,Democratic Corruption Liberation Front,Votes,Communist Party of India (Marxist-Leninist) Red Star,Votes,Ind Vote,Ind Count,First,Second,Third,Third-vote,Fourth,Fourth-vote,Fifth,Sixth,Margin,Margin ratio,Vote split,ADMK+,DMK+,DMDK+,BJP+,PMK,NTK,Margin - others,Total
Gandharvakottai,ARUMUGAM.B,64043,ANBARASAN.K,60996,,,PURATCHIKAVIDHASAN @ PALANIYAPPAN.M,1600,,,THAVAMOORTHY.T,284,C.MOHANRAJ,1432,PALANIMANICKAM.M,530,,,,,VANITHA.R,465,,,None of the Above,1556,unknown,194,,,,,,,,,,,,,,,,,M.CHINNADURAI,13918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1072,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),13918,Bharatiya Janata Party,1600,Naam Tamilar Katchi,Independent,3047,2.09%,Third,43.84%,41.75%,9.53%,1.10%,0.36%,0.98%,-12.32%,146090
Viralimalai,VIJAYA BASKAR C,84701,PALANIAPPAN M,76254,,,,,KARTHIKEYAN R,2979,AZHAGURAJA V,409,SRIDHAR K,815,KANAGARAJ G,415,MUTHUKUMAR S,367,,,,,,,None of the Above,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MURUGESAN A,222,,,,,SARAVANADEVA M,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADAIKALAM N,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1937,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,2979,Ezhuchi Tamilargal Munnetra Kazhagam,1089,Naam Tamilar Katchi,Independent,8447,4.96%,unknown,49.69%,44.74%,1.75%,0.22%,0.24%,0.48%,-0.61%,170448
Pudukkottai,KARTHIK THONDAIMAN,64655,PERIYANNAN ARASSU,66739,,,,,JAHIR HUSSAIN,7810,JEEVA. A,127,ARUNMOZHICHOZHAN. M,1625,VELLAISAMY,667,KUMAR. G,1061,,,,,,,None of the Above,1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANAGARAJAN. A,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,25804,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Independent,22973,Desiya Murpokku Dravida Kazhagam,7810,Naam Tamilar Katchi,Indiya Jananayaka Katchi,2084,1.22%,Third,37.97%,39.19%,4.59%,0.62%,0.39%,0.95%,-21.61%,170282
Thirumayam,VAIRAMUTHU PK,71607,REGUPATHY S,72373,,,VADAMALAI P,2262,,,,,KANAKARETHINAM M,2323,SURESH A,950,,,,,,,,,None of the Above,2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIDAMBARAM  PL.A,5096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALANICHAMY P,129,,,,,,,PALANISAMY A,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1824,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Tamil Maanila Congress  (Moopanar),5096,Naam Tamilar Katchi,2323,Bharatiya Janata Party,Pattali Makkal Katchi,766,0.48%,Third,45.10%,45.58%,3.21%,1.42%,0.60%,1.46%,-8.83%,158768
Alangudi,GNANA KALAISELVAN,63051,MEYYANATHAN .SIVA .V,72992,,,,,,,SENTHILRAJA .C,472,KALA DURAI,1495,ARULMANI .S,5514,SARAVANAN .A,695,,,,,,,None of the Above,1068,,,,,,,,,,,,,CHANDRASEKARAN . K,11387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1422,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Marumalarchi Dravida Munnetra Kazhagam,11387,Pattali Makkal Katchi,5514,Naam Tamilar Katchi,Indiya Jananayaka Katchi,9941,6.29%,Third,39.88%,46.17%,7.20%,0.44%,3.49%,0.95%,-7.66%,158096
Aranthangi,RATHINASABHAPATHY E,69905,,,RAMACHANDRAN T,67614,,,,,XAVIER A,720,SAKILA BANU A,835,SELVAM K,626,GEMINI GANESAN M,922,,,,,,,None of the Above,775,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGANATHAN P,6341,,,,,,,,,,,,,,,KULAM MOHAMED M,1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARUL JUSTIN DIRAVIAM C,1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3942,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Communist Party of India,6341,SOCIAL DEMOCRATIC PARTY OF INDIA,1741,Independent,Tamilaga Makkal Munnetra Kazhagam,2291,1.48%,Third,45.22%,43.74%,4.10%,0.60%,0.40%,0.54%,-9.56%,154597
Karaikudi,KARPAGAM ILANGO,75136,,,RAMASAMY KR,93419,MUTHULAKSHMI V,4969,,,SARAVANAN K,1601,PARIMALAM S,5344,DURAIPANDI PR,897,,,,,,,,,None of the Above,2688,,,,,,,,,,,,,SEVANTHIAPPAN S,14279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARULANAND A,257,,,,,,,,,,,SETHU M,183,,,,,,,,,,,,,RAJKUMAR R,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1859,Indian National Congress,All India Anna Dravida Munnetra Kazhagam,Marumalarchi Dravida Munnetra Kazhagam,14279,Naam Tamilar Katchi,5344,Bharatiya Janata Party,Bahujan Samaj Party,18283,9.08%,Fourth,37.32%,46.40%,7.09%,2.47%,0.45%,2.65%,-7.21%,201355
Tiruppattur,ASOKAN  KR,68715,PERIAKARUPPAN KR,110719,,,,,,,,,ASAISELVAN,2801,ALAGAPPAN PL,706,ANTONY LAWRANCE I,1128,,,,,,,None of the Above,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,SATHIAH N,7380,,,,,,,,,,,,,,,,,,,,,VIJAYAMURUGAN S,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALANIVELU A,202,,,VIJAYASENTHIL C,471,,,,,,,,,,,ALHAGAN C,166,,,,,,,,,,,,,,,,,,,,,,,,,8,4262,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Communist Party of India,7380,Naam Tamilar Katchi,2801,Independent,Indiya Jananayaka Katchi,42004,21.14%,unknown,34.58%,55.72%,3.71%,0.57%,0.36%,1.41%,11.45%,198690
Sivaganga,BASKARAN.G,81697,SATHIANATHAN.M @ MEPPAL M.SAKTHI,75061,,,,,,,,,KOTTAIKUMAR. RAMA,3118,RAJASEKARAN.N,1284,KULANDAISAMY.C,849,,,,,,,None of the Above,1530,,,KALEESWARAN.M,981,,,,,,,,,,,,,,,,,,,,,,,GUNASEKARAN.S,15114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELVARAJ.V,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SARAVANA RAMAKRISHNAN. M,243,,,SRITHAR VANDAIYAR. G. M.,5214,VELLAIKKANNU.T,1809,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2293,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India,15114,All India Forward Bloc  (Subhasist),5214,Naam Tamilar Katchi,Ezhuchi Tamilargal Munnetra Kazhagam,6636,3.50%,Third,43.15%,39.64%,7.98%,0.45%,0.68%,1.65%,-13.70%,189342
Manamadurai,MARIAPPANKENNADY S,89893,CHITRASELVI S,75004,,,RAJENDRAN M,3493,,,SIVANANDAM N,886,SATHYA S,2997,MALAISAMY R,647,,,,,,,,,None of the Above,2193,,,,,DEEPA ANBALAGAN,7493,,,,,KARTHICK R,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KASINATHADURAI A,1515,,,,,,,,,,,,,,,,,RAGHUNATHAN V,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,877,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Viduthalai Chiruthaigal Katchi,7493,Bharatiya Janata Party,3493,Naam Tamilar Katchi,SOCIAL DEMOCRATIC PARTY OF INDIA,14889,8.03%,unknown,48.45%,40.43%,4.04%,1.88%,0.35%,1.62%,-3.09%,185522
Melur,PERIYAPULLAN @ SELVAM P,88909,RAGUPTHY A.P,69186,,,BOOPATHIKAKKAN P.V,1921,,,,,SEEMAN I T,1339,ABDUL SALAM A.K,746,,,,,,,,,None of the Above,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RISHI KAPOOR. S,828,,,BHARATH NATCHIYAPPAN T.N,4579,,,,,,,,,,,ANITHA R,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KALAIMANI S,773,,,,,,,,,,,,,,,VEERANAN E,90,,,,,,,,,,,,,,,,,,,,,10,3163,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Tamil Maanila Congress  (Moopanar),4579,Bharatiya Janata Party,1921,Naam Tamilar Katchi,SOCIAL DEMOCRATIC PARTY OF INDIA,19723,11.43%,unknown,51.54%,40.11%,2.65%,1.11%,0.43%,0.78%,3.08%,172501
Madurai East,P PANDI,75797,MOORTHY P,108569,,,SUSEENDRAN M,6181,,,RADHA T,402,SENGANNAN,3296,ALAGURAJA,1113,,,,,,,,,None of the Above,3246,unknown,147,K.SELVAKUMAR,407,,,,,,,,,,,,,,,,,,,,,,,KALITHASAN  P.,11599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AYANNAR S,569,,,,,,,,,,,,,BALAMURUGAN.K,240,,,,,,,THIRUVENKADAM .S,210,KANNAN.M,163,,,,,,,,,,,,,,,,,6,2534,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Communist Party of India,11599,Bharatiya Janata Party,6181,Naam Tamilar Katchi,Pattali Makkal Katchi,32772,15.28%,unknown,35.34%,50.62%,5.41%,2.88%,0.52%,1.54%,1.24%,214473
Sholavandan,MANICKAM K,87044,BHAVANI.C,62187,,,PALANIVEL SWAMY S,2766,,,JAYAKUMAR V,556,SAKTHI C,1553,MUTHAIAH S,857,,,,,,,,,None of the Above,1930,,,,,PANDIYAMMAL R,7357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANNAN S,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERIYAKARUPPAN C,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1301,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Viduthalai Chiruthaigal Katchi,7357,Bharatiya Janata Party,2766,Naam Tamilar Katchi,Pattali Makkal Katchi,24857,14.94%,unknown,52.33%,37.39%,4.42%,1.66%,0.52%,0.93%,4.67%,166324
Madurai North,RAJAN CHELLAPPA  V.V.,70460,,,KARTHIKEYAN  V.,51621,,,MUJUPUR RAHUMAN  S.,17732,,,SARAL  M.,3541,AASAI KUMAR  R.,2039,ANAND  B.,1339,,,,,,,None of the Above,3479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VOLTAIRE  M.J.,127,,,,,,,,,,,,,,,,,THIRUCHENTHURAN  R.,892,,,,,,,,,,,IDA REVATHY  R.,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BHAGAVATHY  P.,641,,,KARUPPAIAH  S.,115,,,,,,,GOPI SHANKAR  M.,157,,,,,,,,,,,,,,,,,,,,,,,,,9,1900,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Desiya Murpokku Dravida Kazhagam,17732,Naam Tamilar Katchi,3541,Pattali Makkal Katchi,Indiya Jananayaka Katchi,18839,12.20%,Fourth,45.64%,33.44%,11.49%,0.87%,1.32%,2.29%,-8.71%,154368
Madurai South,SARAVANAN .S.S.,62683,BALACHANDRAN .M,38920,,,MAHALAKSHMI .A.R,16069,,,,,VIJAYAKUMAR. B,2594,MARI SELVAM. S,864,,,,,,,,,None of the Above,2918,,,,,,,,,,,,,BOOMINATHAN. M,19443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GANESAN .U,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAJIMA BEGUM .S,2210,,,,,,,,,,,,,,,4,733,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Marumalarchi Dravida Munnetra Kazhagam,19443,Bharatiya Janata Party,16069,Naam Tamilar Katchi,Socialistic Democratic Party,23763,16.21%,Fourth,42.75%,26.55%,13.26%,10.96%,0.59%,1.77%,-14.49%,146611
Madurai Central,JEYABAL M,58900,PALANIVEL THIAGARAJAN,64662,,,KARTHIK PRABU M,6926,SIVAMUTHUKUMAR D,11235,THAVAMANI A,203,VETRIKUMARAN C,2998,SELVAM T,1007,,,,,,,,,None of the Above,2683,,,,,,,,,SOUNDARAM G T,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAFAR SULTHAN IBRAHIM  M,1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUDHAKAR R,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1116,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,11235,Bharatiya Janata Party,6926,Naam Tamilar Katchi,SOCIAL DEMOCRATIC PARTY OF INDIA,5762,3.79%,Third,38.75%,42.55%,7.39%,4.56%,0.66%,1.97%,-14.91%,151982
Madurai West,RAJU K,82529,THALAPATHI G,66131,,,SASIKUMAR A,5705,,,,,THIRUNAVUKKARASU V,3454,KRISHNAKUMAR R,927,,,,,,,,,None of the Above,2759,,,,,,,,,,,,,,,PANDI A,239,,,VASUKI U,19991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESWARAN S,277,,,,,,,,,,,MURUGAN S,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEENAKSHI V C,310,,,,,,,MANIKANDAN N,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1572,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),19991,Bharatiya Janata Party,5705,Naam Tamilar Katchi,Pattali Makkal Katchi,16398,8.90%,Third,44.81%,35.91%,10.85%,3.10%,0.50%,1.88%,-10.38%,184180
Thiruparankundram,SEENIVEL S M,93453,MANIMARAN M,70461,,,ARUMUGAM S,7698,,,,,,,BALAMURUGAN K,1237,,,,,,,,,None of the Above,3111,,,,,,,,,SANTHI V,137,,,,,SANTHI POOJAN K,302,,,,,,,,,,,KANDASAMY K,15275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALAGARSAMY M,544,,,PRABAKARAN S,159,,,,,,,,,,,,,,,,,,,,,,,,,KALIMUTHU A,315,,,,,,,,,,,,,,,,,,,VELMURUGAN G,331,,,,,,,MOHAN M,1277,,,,,,,,,MUTHUKRISHNAN S,905,BALASUBRAMANIAN T,182,,,,,,,,,,,,,,,,,,,,,,,,,6,2093,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India,15275,Bharatiya Janata Party,7698,All India Forward Bloc,Pattali Makkal Katchi,22992,11.64%,unknown,47.32%,35.68%,7.73%,3.90%,0.63%,0.00%,-5.35%,197480
Thirumangalam,UDHAYAKUMAR.R.B,95864,,,JEYARAM.R,72274,RAMAMOORTHY.V.R,3261,SRINIVASAN.M,20589,VAIYADURAI.V,406,MANIKANDAN.K,1999,KANNIAH.T,843,,,,,,,,,None of the Above,1572,unknown,116,,,,,,,TAMILAPPANDI.M.P,94,,,,,JEYASAKTHIVEL.S,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAGARAJAN.S,358,,,PANDY.P,198,,,KARNAN.S,1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4172,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Desiya Murpokku Dravida Kazhagam,20589,Bharatiya Janata Party,3261,Naam Tamilar Katchi,All India Forward Bloc,23590,11.56%,Fourth,46.99%,35.43%,10.09%,1.60%,0.41%,0.98%,-6.02%,204004
Usilampatti,NEETHIPATHI P,106349,ILAMAKEZHAN.K,73443,,,SANGLI.M,2860,,,MAHENDRAN M,939,IYNDHU KOVILAN.G,1437,MURUGAN.T,619,,,,,,,,,None of the Above,1672,,,,,,,,,RANJITHAM P,96,,,BASKARA SETHUPATHY.A,7079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JEYAKUMAR S,255,,,KATHIRAVAN P.V,5136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1241,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Marumalarchi Dravida Munnetra Kazhagam,7079,All India Forward Bloc,5136,Bharatiya Janata Party,Naam Tamilar Katchi,32906,16.36%,unknown,52.88%,36.52%,3.52%,1.42%,0.31%,0.71%,5.75%,201126
Andipatti,THANGATAMILSELVAM,103129,MOOKAIAH.L,72933,,,CHAKKARAVARTHI.R,3465,KRISHNAMOORTHY.M.N,10776,,,ANANDHA BABU.M,1318,RAVI.K,817,,,,,,,,,None of the Above,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEERALAKSHMI.M,112,,,,,,,,,,,,,,,RENGA THURAI.D,141,,,,,,,,,,,,,,,,,,,MEENAKSHI SUNDARAM.G.K,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIVAKUMAR.A,347,,,SENTHIL KUMAR.R.,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3128,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,10776,Bharatiya Janata Party,3465,Naam Tamilar Katchi,Independent,30196,15.20%,unknown,51.93%,36.72%,5.43%,1.74%,0.41%,0.66%,3.85%,198609
Periyakulam,KATHIRKAMU.K,90599,ANBAZHAGAN,76249,,,CHELLAM.K,5015,,,,,PUSHPALATHA.M,1048,KANNAN.R,1025,,,,,,,,,None of the Above,2275,,,,,,,,,,,,,,,,,,,LAZAR.A,13525,,,,,,,,,,,,,CHANDRAN.K,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JEYACHANDAN.P,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BALAMURUGAN.P,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2902,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),13525,Bharatiya Janata Party,5015,Naam Tamilar Katchi,Pattali Makkal Katchi,14350,7.43%,Fourth,46.94%,39.51%,7.01%,2.60%,0.53%,0.54%,-6.12%,193010
Bodinayakanur,O. PANNEERSELVAM,99531,S. LAKSHMANAN,83923,,,V. VENKATESWARAN,3250,A.VEERABADRAN,6889,V. THANGADURAI,594,P. ANBALAGAN,1324,A.RAMAKRISHNAN,405,,,,,,,,,None of the Above,1966,unknown,72,,,,,,,,,,,,,D. MAHESWARI,385,,,,,,,,,M. RADHA KRISHNAN,276,,,,,,,K. PANDIAN,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V. NAGAJOTHI,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K.NATHIYAZAGAN,67,,,,,V.S.  GOUR MOHAN DASS,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2407,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,6889,Bharatiya Janata Party,3250,Naam Tamilar Katchi,Bahujan Samaj Party,15608,7.74%,unknown,49.38%,41.63%,3.42%,1.61%,0.20%,0.66%,-1.25%,201579
Cumbum,S.T.K.JAKKAIYAN,91099,CUMBUM.N RAMAKRISHNAN,79878,,,N.PRABAKARAN,3971,,,S.CHELLAIAH,410,R.JAYAPAL,1121,PON. KATCHIKANNAN,763,,,,,,,,,None of the Above,2219,,,,,,,,,,,,,,,,,,,,,,,,,S.DEVANANTH,86,,,,,,,,,,,,,,,,,S.M.RAFEEQ AHAMED,1361,,,O.R.RAMACHANDRAN,10149,,,,,,,,,,,,,,,,,,,,,T.THIRUCHINGAM,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.MARIYAPPAN,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2796,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Tamil Maanila Congress  (Moopanar),10149,Bharatiya Janata Party,3971,SOCIAL DEMOCRATIC PARTY OF INDIA,Naam Tamilar Katchi,11221,5.78%,Fourth,46.94%,41.16%,5.23%,2.05%,0.39%,0.58%,-6.12%,194082
Rajapalayam,SHYAM  A.A.S.,69985,THANGAPPANDIAN. S.,74787,,,RAMACHANDRA RAJA   A.N.,3435,,,,,JEYARAJ. V.,2414,LAKSHMANAN. P.,1073,,,,,,,,,None of the Above,2290,unknown,138,,,,,,,,,,,,,,,,,GURUSAMY. A.,12505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BALAMURUGAN.V.,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARASAMANI. K.,547,,,,,,,,,,,,,11,3415,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),12505,Bharatiya Janata Party,3435,Naam Tamilar Katchi,Pattali Makkal Katchi,4802,2.81%,Third,41.00%,43.82%,7.33%,2.01%,0.63%,1.41%,-12.37%,170688
